{d}en-lil₂	N1=NAME
gu-ti-um{ki}	N1=NAME
muš-ŋiri₂	N1=STEM
hur-saŋ-ŋa₂	N1=STEM.N5=GEN
lu₂	N1=STEM
a₂	N1=STEM.N5=ABS
zig₃-ga	NV2=STEM.NV4=SUB
diŋir-re-e-ne	N1=STEM.N4=PL.N5=GEN
lu₂	N1=STEM
nam-lugal	N1=STEM
ki-en-gi-ra₂	N1=NAME.N5=GEN.N5=ABS
kur-še₃	N1=STEM.N5=TERM
ba-de₆-a	V5=MID.V11=3-SG-H-A.V12=STEM.V14=3-SG-P.V15=SUB
ki-en-gi-ra₂	N1=NAME.N5=L2-NH
niŋ₂-a-erim₂	N1=STEM.N5=ABS
bi₂-in-si-a	V5=3-NH.V10=L2.V11=3-SG-H-A.V12=STEM.V14=3-SG-P.V15=SUB
dam	N1=STEM.N5=ABS
tuku	NV2=STEM.N5=COM
dam-ni	N1=STEM.N3=3-SG-H-POSS.N5=ABS
ba-an-da-kar-ra	V5=MID.V6=3-SG-H.V8=COM.V11=3-SG-H-A.V12=STEM.V14=3-SG-P.V15=SUB
dumu	N1=STEM.N5=ABS
tuku	NV2=STEM.N5=COM
dumu-ni	N1=STEM.N3=3-SG-H-POSS.N5=ABS
ba-an-da-kar-ra	V5=MID.V6=3-SG-H.V8=COM.V11=3-SG-H-A.V12=STEM.V14=3-SG-P.V15=SUB
niŋ₂-a-erim₂	N1=STEM
niŋ₂-a₂-zig₃	N1=STEM.N5=ABS
kalam-ma	N1=STEM.N5=L1
mi-ni-in-ŋar-ra	V4=VEN.V10=L1.V11=3-SG-A.V12=STEM.V14=3-SG-P.V15=SUB.N5=GEN
{d}en-lil₂	N1=NAME
lugal	N1=STEM
kur-kur-ra-ke₄	N1=STEM-RDP.N5=GEN.N5=ERG
mu-bi	N1=STEM.N3=3-SG-NH-POSS.N5=ABS
ha-lam-e-de₃	NV2=STEM.NV4=ed.N5=DAT-NH
{d}utu-he₂-ŋal₂	N1=NAME
nita	N1=STEM
kalag-ga	NV2=STEM.NV4=SUB
lugal	N1=STEM
unug{ki}-ga	N1=NAME.N5=GEN
lugal	N1=STEM
an-ub-da	N1=STEM
limmu₅-ba	NV2=STEM.N3=3-SG-NH-POSS.N5=GEN
lugal	N1=STEM
dug₄-ga-na	NV2=STEM.NV4=SUB.N3=3-SG-H-POSS.N5=L2-NH
nu-gi₄-gi₄-da	NV1=NEG.NV2=STEM-PF.NV3=PF.N5=COM
{d}en-lil₂	N1=NAME
lugal	N1=STEM
kur-kur-ra-ke₄	N1=STEM-RDP.N5=GEN.N5=ERG
a₂-bi	N1=STEM.N3=3-SG-NH-POSS.N5=ABS
mu-da-an-aŋ₂	V4=VEN.V6=3-SG-H.V8=COM.V11=3-SG-H-A.V12=STEM.V14=3-SG-P
{d}inana	N1=NAME
nin-a-ni	N1=STEM.N3=3-SG-H-POSS.N5=DAT-H
mu-na-an-ŋen	V4=VEN.V6=3-SG-H.V7=DAT.V12=STEM.V14=3-SG-S
šud₃	N1=STEM.N5=ABS
mu-na-ra₂	V4=VEN.V6=3-SG-H.V7=DAT.V11=3-SG-H-A.V12=STEM.V14=3-SG-P
nin-ŋu₁₀	N1=STEM.N3=1-SG-POSS
piriŋ	N1=STEM
me₃	N1=STEM.N5=GEN
kur-kur-da	N1=STEM-RDP.N5=COM
du₇-du₇	NV2=STEM-PF.NV3=PF
{d}en-lil₂-le	N1=NAME.N5=ERG
nam-lugal	N1=STEM
ki-en-gi-ra	N1=NAME.N5=GEN.N5=ABS
šu-ba	N1=STEM.N3=3-SG-NH-POSS.N5=L2-NH
gi₄-gi₄-de₃	NV2=STEM-PF.NV3=PF.N5=DAT-NH
a₂-bi	N1=STEM.N3=3-SG-NH-POSS.N5=ABS
mu-da-an-aŋ₂	V4=VEN.V6=1-SG.V8=COM.V11=3-SG-H-A.V12=STEM.V14=3-SG-P
a₂-dah-ŋu₁₀	N1=STEM.N3=1-SG-POSS.N5=ABS
he₂-me	V1=MOD1.V2=FIN.V12=COP.V14=2-SG-S
ugnim	N1=STEM
lu₂	N1=STEM
kur₂-kur₂-ra	NV2=STEM-RDP.N5=GEN.N5=ABS
ki	N1=STEM.N5=L3-NH
he₂-eb₂-us₂-us₂	V1=MOD1.V2=FIN.V11=3-SG-NH-L3.V12=STEM-RDP.V14=3-SG-S
ti-ri₂-ga-a-an	N1=NAME
lugal	N1=STEM
gu-ti-um{ki}-ke₄	N1=NAME.N5=GEN.N5=ERG
ka-bi	N1=STEM.N3=3-SG-NH-POSS.N5=ABS
ba-ši-ba	V5=MID.V9=TERM.V11=3-SG-H-A.V12=STEM.V14=3-SG-P
lu₂	N1=STEM.N5=ABS
nu-mu-ši-e₃	V1=NEG.V4=VEN.V6=3-SG-H.V9=TERM.V12=STEM.V14=3-SG-S
{id₂}idigna	N1=NAME
gu₂	N1=STEM
min-a-ba	NV2=STEM.NV4=SUB.N3=3-SG-NH-POSS.N5=L2-NH
bi₂-in-tuš	V5=3-NH.V10=L2.V11=3-SG-H-A.V12=STEM.V14=3-SG-P
sig-še₃	NV2=STEM.N5=TERM
ki-en-gi-ra₂	N1=NAME.N5=L2-NH
gana₂	N1=STEM.N5=ABS
bi₂-keše₂	V5=3-NH.V10=L2.V11=3-SG-H-A.V12=STEM.V14=3-SG-P
igi-nim-še₃	N1=STEM.N5=TERM
ŋiri₃	N1=STEM.N5=ABS
i₃-keše₂	V2=FIN.V11=3-SG-H-A.V12=STEM.V14=3-SG-P
kaskal	N1=STEM
kalam-ma-ke₄	N1=STEM.N5=GEN.N5=L3-NH
u₂	N1=STEM
gid₂-da	NV2=STEM.NV4=SUB.N5=ABS
bi₂-in-mu₂	V5=3-NH.V10=L3.V11=3-SG-H-A.V12=STEM.V14=3-SG-P
lugal	N1=STEM
{d}en-lil₂-le	N1=NAME.N5=ERG
a₂	N1=STEM.N5=ABS
