...{ki}	SN.ABS	1
...{ki}	SN.GEN.DAT-H	1
...{ki}-ta	SN.ABL	1
...-bi	PN.ERG	1
...-dingir-re	PN	1
...-kam	NU.GEN.COP-3-SG	1
...-KA-x	PN.DAT-H	1
...-sa6-sa6	PN.GEN.GEN	1
...-ta	PN.GEN.ABL	1
...-x-ni	PN.ERG	1
[n]	NU	1
{ansze}kunga2	N	1
{ansze}kunga2	N.GEN	1
{ansze}kunga2	N.GEN.ABS	2
{d}...	DN.GEN	2
{d}...	MN.L1	1
{d}a2-an-da	DN.DAT-H	1
{d}alamusz	DN.DAT-H	1
{d}al-la-gu-la	DN.GEN.TERM	1
{d}al-la-tum	DN.DAT-H	1
{d}al-la-tum	DN.GEN	1
{d}amar-{d}suen	RN	14
{d}amar-{d}suen	RN.ABS	5
{d}amar-{d}suen	RN.DAT-H.ABS	1
{d}be-la-at-dar-ra-ba-an	DN.GEN.GEN.TERM	1
{d}be-la-at-suh-ner	DN	1
{d}dumu-zi	MN.L1	13
{d}en-ki	DN.DAT-H	1
{d}en-ki	DN.GEN.ABS	10
{d}en-ki-ka	DN.GEN	1
{d}en-ki-ka	DN.GEN.ABS	1
{d}en-lil2	DN	9
{d}en-lil2	DN.DAT-H	2
{d}en-lil2	DN.GEN.ABS	1
{d}en-lil2-la2	DN.GEN	1
{d}en-lil2-la2	DN.GEN.ABS	10
{d}en-lil2-la2	DN.GEN.TERM	1
{d}en-lil2-la2	PN.DAT-H	1
{d}en-lil2-la2	PN.ERG	3
{d}en-lil2-la2-ka	DN.GEN.GEN	1
{d}en-lil2-la2-sze3	DN.GEN.TERM	2
{d}en-lil2-la2-ta	DN.GEN.ABL	1
{d}en-lil2-mu	PN	1
{d}en-lil2-ra	DN.DAT-H	1
{d}gu-la	DN	1
{d}gu-la	DN.DAT-H	1
{d}gu-la	DN.GEN.ABS	1
{d}gu-la	DN.GEN.DAT-H	1
{d}gu-za	N	3
{d}ha-ia3	DN.DAT-H	2
{d}hendur-sag	DN	1
{d}i-bi2-{d}suen	RN	6
{d}i-bi2-{d}suen	RN.ABS	2
{d}inanna	DN	3
{d}inanna	DN.DAT-H	3
{d}inanna	DN.GEN	1
{d}inanna	DN.GEN.ABS	10
{d}inanna	DN.GEN.ABS		1
{d}inanna	DN.GEN.GEN	1
{d}inanna	DN.GEN.GEN.TERM	2
{d}inanna	DN.GEN.TERM	2
{d}inanna-sze3	DN.GEN.TERM	1
{d}inanna-ta	DN.GEN.ABL	1
{d}iszkur-ba-ni	PN.DAT-H	1
{d}iszkur-illat-ta	PN.GEN.ABL	2
{d}iszkur-ku3-gal2	PN.DAT-H	1
{d}isztaran	DN	1
{d}la-az	DN	1
{d}li9-si4	MN.L1	9
{d}li9-si4-sze3	MN.TERM	1
{d}lugal-banda3{da}	DN.GEN.DAT-H	1
{d}lugal-ka-...	DN	1
{d}ma-mi-hi-li-su3	PN.DAT-H	1
{d}mes-lam-ta-e3-a	PN	1
{d}na-na-a	DN.DAT-H	2
{d}na-na-a	DN.GEN.GEN.TERM	1
{d}na-na-a	DN.GEN.TERM	1
{d}nanna	DN	12
{d}nanna	DN.DAT-H	3
{d}nanna	DN.GEN	1
{d}nanna	DN.GEN.ABS	6
{d}nanna	DN.GEN.TERM	2
{d}nanna-gu2-gal-sze3	WN.GEN.TERM	1
{d}nanna-he2-gal2	PN	1
{d}nanna-hi-li	PN.GEN	1
{d}nanna-ka	DN.GEN.GEN.L1	1
{d}nanna-kam	PN	2
{d}nanna-ke4	DN.GEN.ERG	1
{d}nanna-ki-ag2	N	1
{d}nanna-lu2-du10	PN	1
{d}nanna-ma-ba	PN	2
{d}nanna-sze3	DN.GEN.TERM	1
{d}nanna-zi	PN.DAT-H	1
{d}nansze	DN	1
{d}nansze-gar-ra	DN.GEN	1
{d}nansze-ta	DN.GEN.GEN.GEN.ABL	1
{d}na-ru2-a	N.GEN	1
{d}nerah-a-gal2	DN.GEN.DAT-H	1
{d}nin-...	DN	3
{d}nin-a-zu	DN.DAT-H	1
{d}nin-e2-gal	DN.DAT-H	3
{d}nin-e2-gi4-a	DN.GEN.TERM	1
{d}nin-gal	DN	1
{d}nin-gal	DN.DAT-H	1
{d}nin-gesz-zi-da	DN.DAT-H	2
{d}nin-gesz-zi-da	DN.GEN	2
{d}nin-gir2-su	DN	1
{d}nin-gubalag	DN.DAT-H	1
{d}nin-hur-sag	DN.DAT-H	1
{d}nin-hur-sag-ka	DN.GEN.GEN.GEN.L1	1
{d}nin-hur-sag-ka	DN.GEN.L1	1
{d}nin-ildu3-ma	PN.GEN	1
{d}nin-ku3-nun	TN.TERM	1
{d}nin-lil2	DN.DAT-H	3
{d}nin-lil2-la2	DN.GEN.ABS	1
{d}nin-lil2-la2	DN.GEN.TERM	1
{d}nin-lil2-ra	DN.DAT-H	6
{d}nin-mar{ki}-sze3	SN.GEN.TERM	1
{d}nin-mar{ki}-ta	SN.GEN.ABL	1
{d}nin-sun2	DN.DAT-H	1
{d}nin-sza3-ge-pa3-da	DN.GEN.DAT-H	1
{d}nin-szubur	DN.DAT-H	1
{d}nin-ti2-ug5-ga	DN.DAT-H	1
{d}nin-ur4-ra	DN.GEN	2
{d}nin-ur4-ra	DN.GEN.ABS	1
{d}nin-ur4-ra	DN.GEN.DAT-H	1
{d}nin-urta	DN.DAT-H	1
{d}nusku	DN.DAT-H	1
{d}pa4-u2-e	MN.L1	2
{d}suen-a-bu-szu	PN	2
{d}suen-ba-ni	PN.DAT-H	1
{d}szakkan2-an-dul3	PN.DAT-H	1
{d}szara2	DN	8
{d}szara2	DN.DAT-H	1
{d}szara2	DN.GEN	3
{d}szara2	DN.GEN.ABS	6
{d}szara2	DN.GEN.GEN	3
{d}szara2	SN.GEN.ABS	1
{d}szara2-a-mu	PN	1
{d}szara2-ba-an-sa6	PN.DAT-H	1
{d}szara2-ba-zi-ge	PN.DAT-H	1
{d}szara2-gu2-gal	PN.GEN.L1	1
{d}szara2-he2-gal2	PN.GEN	1
{d}szara2-i3-x	PN.DAT-H	1
{d}szara2-kam	PN	2
{d}szara2-kam	PN.ERG	1
{d}szara2-kam	PN.GEN	1
{d}szara2-kam-ta	PN.GEN.ABL	2
{d}szara2-za-me	PN.GEN	1
{d}szu-{d}suen	RN	42
{d}szu-{d}suen	RN		1
{d}szu-{d}suen	RN.ABS	5
{d}szu-{d}suen	RN.GEN	1
{d}szu-{d}suen-e	RN.ERG	1
{d}szu-{d}suen-sze3	RN.GEN.GEN.TERM	1
{d}szul-gi	RN	8
{d}szul-gi	RN.DAT-H	1
{d}szul-gi-a-a-mu	PN.ERG	1
{d}szul-gi-a-bi2	PN.ERG	1
{d}szul-gi-da-an-ga-da	PN	1
{d}szul-gi-da-an-ga-da	PN.GEN	1
{d}szul-gi-dan-ga-da	PN.DAT-H	1
{d}szul-gi-i3-li2	PN.GEN.DAT-H	1
{d}szul-gi-i3-li2-ta	PN.GEN.ABL	1
{d}szul-gi-iri-mu	PN.ERG	4
{d}szul-gi-iri-mu	PN.GEN	2
{d}szul-gi-mi-szar	PN.GEN.DAT-H	1
{d}szul-gi-mu-dah	PN	1
{d}szul-gi-ra	DN.GEN	1
{d}szul-gi-ra	RN.GEN	1
{d}szul-gi-ra-me	RN.GEN.ABS.COP-3-PL	1
{d}szul-gi-si2-im-tum	PN.DAT-H	1
{d}szul-gi-sza-am3-szi	PN.DAT-H	1
{d}szul-gi-zi-mu	PN	1
{d}ul-ma-szi-tum	DN.DAT-H	1
{d}USZ-ka-limmu2	DN.GEN	1
{d}utu	DN.DAT-H	2
{d}utu-ba-ni	PN.DAT-H	1
{d}utu-bar-ra	PN.ERG	1
{d}utu-GIR2@g-gal	PN.GEN	1
{d}utu-he2-sa6	PN	1
{d}utu-mu	PN.DAT-H	1
{d}x	DN	1
{d}x-{d}suen	RN	2
{d}x-sag	DN	1
{d}x-x-a-mu	PN.DAT-H	1
{ga2}gar	NF.V.PT	1
{gesz}al	N	1
{gesz}an-za-am	N	1
{gesz}apin	N	3
{gesz}ba-an	N	1
{gesz}banszur	N	1
{gesz}dal	N	1
{gesz}dehi	N	1
{gesz}erin	N	1
{gesz}gaba-tab-e	N.L3-NH	1
{gesz}gag	N	1
{gesz}gag-sal	N	1
{gesz}geszimmar	N	1
{gesz}gigir	N.TERM	2
{gesz}gigir-re	PN.GEN	1
{gesz}gu-za	N	4
{gesz}ig	N	2
{gesz}kab2-kul	N.GEN	1
{gesz}kiri6	N	5
{gesz}kiri6	N.L1.ABS	1
{gesz}ma:nu	N.GEN.ABS	1
{gesz}ma-nu	N.ABS	1
{gesz}mar	N	1
{gesz}mar-im	N	1
{gesz}masz-da3	N	1
{gesz}na2	N	1
{gesz}pesz3	N	1
{gesz}su7	N	1
{gesz}tag	N	1
{gesz}tag	NU	1
{gesz}tug2-gurx(|SZE.KIN|)	N	1
{gesz}tukul	N	1
{gesz}tukul	N.L2-NH	1
{gesz}tukul-gu-la	N.DAT-H	2
{gesz}u3-suh5	N	1
{gesz}u3-szub	N	1
{gi}ba-an	N	1
{gi}ba-an-du8-du8	N	2
{gi}gakkul2	N	1
{gi}gur	N	6
{gi}gur-dub	N	1
{gi}ha-an-ka-ze2	N	1
{gi}hal	N	1
{gi}kaskal	N	3
{gi}kid	N	1
{gi}ma-an-sim	N	1
{gi}ma-an-x	N	1
{gi}murux(|KID.SZU2.MA2|)	N.ABS	1
{gi}pisan	N	7
{gi}si2-im-tum	N	1
{gi}su7-su7	N	1
